bill_id,discount,total,method,date,status,customer_id
BILL_0001,0,250000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_163
BILL_0002,0,700000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_115
BILL_0003,0,800000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_187
BILL_0004,0,600000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_134
BILL_0005,0,200000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_135
BILL_0006,0,700000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_002
BILL_0007,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_062
BILL_0008,0,750000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_027
BILL_0009,0,750000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_144
BILL_0010,0,200000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_042
BILL_0011,0,400000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_063
BILL_0012,0,500000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_053
BILL_0013,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_057
BILL_0014,0,1050000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_092
BILL_0015,0,200000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_129
BILL_0016,0,250000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_061
BILL_0017,0,750000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_147
BILL_0018,0,500000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_051
BILL_0019,0,250000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_093
BILL_0020,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_167
BILL_0021,0,750000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_019
BILL_0022,0,800000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_035
BILL_0023,0,400000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_146
BILL_0024,0,800000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_198
BILL_0025,0,600000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_130
BILL_0026,0,700000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_088
BILL_0027,0,1200000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_166
BILL_0028,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_189
BILL_0029,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_184
BILL_0030,0,250000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_125
BILL_0031,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_152
BILL_0032,0,350000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_123
BILL_0033,0,1200000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_027
BILL_0034,0,200000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_085
BILL_0035,0,700000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_087
BILL_0036,0,350000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_018
BILL_0037,0,1200000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_130
BILL_0038,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_195
BILL_0039,0,750000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_021
BILL_0040,0,500000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_042
BILL_0041,0,750000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_173
BILL_0042,0,400000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_192
BILL_0043,0,500000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_064
BILL_0044,0,350000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_053
BILL_0045,0,250000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_169
BILL_0046,0,500000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_093
BILL_0047,0,750000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_032
BILL_0048,0,400000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_145
BILL_0049,0,500000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_161
BILL_0050,0,500000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_200
BILL_0051,0,200000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_164
BILL_0052,0,600000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_051
BILL_0053,0,400000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_112
BILL_0054,0,1050000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_109
BILL_0055,0,400000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_033
BILL_0056,0,800000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_158
BILL_0057,0,250000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_078
BILL_0058,0,800000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_029
BILL_0059,0,1200000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_060
BILL_0060,0,400000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_103
BILL_0061,0,500000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_024
BILL_0062,0,250000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_052
BILL_0063,0,200000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_023
BILL_0064,0,400000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_197
BILL_0065,0,250000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_054
BILL_0066,0,600000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_077
BILL_0067,0,500000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_151
BILL_0068,0,750000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_179
BILL_0069,0,700000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_121
BILL_0070,0,700000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_009
BILL_0071,0,400000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_013
BILL_0072,0,1050000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_156
BILL_0073,0,600000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_179
BILL_0074,0,750000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_132
BILL_0075,0,800000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_020
BILL_0076,0,200000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_149
BILL_0077,0,1200000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_196
BILL_0078,0,700000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_095
BILL_0079,0,200000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_046
BILL_0080,0,750000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_110
BILL_0081,0,200000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_174
BILL_0082,0,600000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_104
BILL_0083,0,600000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_010
BILL_0084,0,800000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_037
BILL_0085,0,400000.0,Card,2026-04-18 10:30:00,Đã thanh toán,CUS_004
BILL_0086,0,250000.0,Cash,2026-04-18 10:30:00,Đã thanh toán,CUS_148
BILL_0087,0,600000.0,QR,2026-04-18 10:30:00,Đã thanh toán,CUS_154
